accession	trait	trait_display	genome_build	sample_size	download_url
GCST90451118	Creatinine	Creatinine	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451118/GCST90451118.tsv.gz
GCST90451119	DHA_pct	Docosahexaenoic acid/total fatty acids ratio	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451119/GCST90451119.tsv.gz
GCST90451120	DHA	Docosahexaenoic acid	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451120/GCST90451120.tsv.gz
GCST90451121	Gln	Glutamine	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451121/GCST90451121.tsv.gz
GCST90451122	Glucose	Glucose	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451122/GCST90451122.tsv.gz
GCST90451123	GlycA	Glycoprotein acetyls	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451123/GCST90451123.tsv.gz
GCST90451124	Gly	Glycine	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451124/GCST90451124.tsv.gz
GCST90451125	HDL_CE	Cholesteryl esters in high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451125/GCST90451125.tsv.gz
GCST90451126	HDL_C	Total cholesterol in high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451126/GCST90451126.tsv.gz
GCST90451127	HDL_FC	Free cholesterol in high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451127/GCST90451127.tsv.gz
GCST90451128	HDL_L	Total lipids in high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451128/GCST90451128.tsv.gz
GCST90451129	HDL_PL	Phospholipids in high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451129/GCST90451129.tsv.gz
GCST90451130	HDL_P	High-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451130/GCST90451130.tsv.gz
GCST90451131	HDL_size	Mean high-density lipoprotein particle diameter	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451131/GCST90451131.tsv.gz
GCST90451132	HDL_TG	Triglycerides in high-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451132/GCST90451132.tsv.gz
GCST90451133	His	Histidine	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451133/GCST90451133.tsv.gz
GCST90451134	IDL_CE_pct	Cholesteryl esters/total lipids ratio in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451134/GCST90451134.tsv.gz
GCST90451135	IDL_CE	Cholesteryl esters in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451135/GCST90451135.tsv.gz
GCST90451136	Cholesterol_to_total_lipids_ratio_in_IDL	Cholesterol/total lipids ratio in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451136/GCST90451136.tsv.gz
GCST90451137	Cholesterol_in_IDL	Cholesterol in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451137/GCST90451137.tsv.gz
GCST90451138	Free_cholesterol_to_total_lipids_ratio_in_IDL	Free cholesterol/total lipids ratio in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451138/GCST90451138.tsv.gz
GCST90451139	Free_cholesterol_in_IDL	Free cholesterol in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451139/GCST90451139.tsv.gz
GCST90451140	Total_lipids_in_IDL	Total lipids in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451140/GCST90451140.tsv.gz
GCST90451141	Phospholipids_to_total_lipids_ratio_in_IDL	Phospholipids/total lipids ratio in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451141/GCST90451141.tsv.gz
GCST90451142	Phospholipids_in_IDL	Phospholipids in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451142/GCST90451142.tsv.gz
GCST90451143	Concentration_of_IDL_particles	Intermediate-density lipoprotein particle concentration	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451143/GCST90451143.tsv.gz
GCST90451144	Triglycerides_to_total_lipids_ratio_in_IDL	Triglycerides/total lipids ratio in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451144/GCST90451144.tsv.gz
GCST90451145	Triglycerides_in_IDL	Triglycerides in intermediate-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451145/GCST90451145.tsv.gz
GCST90451146	Isoleucine	Isoleucine	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451146/GCST90451146.tsv.gz
GCST90451147	Lactate	Lactate	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451147/GCST90451147.tsv.gz
GCST90451148	Ratio_of_linoleic_acid_to_total_fatty_acids	Linoleic acid/total fatty acids ratio	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451148/GCST90451148.tsv.gz
GCST90451149	Linoleic_acid	Linoleic acid	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451149/GCST90451149.tsv.gz
GCST90451150	Cholesteryl_esters_in_LDL	Cholesteryl esters in low-density lipoprotein	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451150/GCST90451150.tsv.gz
GCST90451151	LDL_cholesterol	Low-density lipoprotein cholesterol	GRCh38	599249	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90451001-GCST90452000/GCST90451151/GCST90451151.tsv.gz
