locus_key	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus342	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus343	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus344	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus345	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus346	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus347	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus348	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus349	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus350	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus351	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus352	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus353	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus354	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus355	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus356	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus357	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus358	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus359	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus360	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus361	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus362	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus363	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus364	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus365	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus366	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus367	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus368	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus369	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus370	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus371	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus372	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus373	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus374	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus375	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus376	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus377	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus378	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus379	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus380	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus381	TRUE	TRUE	TRUE
