locus_key	trait	locus	outcome	analysis_status	failure_reason
Cholesterol_in_very_large_HDL__locus074	Cholesterol_in_very_large_HDL	locus074	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus075	Cholesterol_in_very_large_HDL	locus075	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus075	Cholesterol_in_very_large_HDL	locus075	main	success	none
Cholesterol_in_very_large_HDL__locus075	Cholesterol_in_very_large_HDL	locus075	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus076	Cholesterol_in_very_large_HDL	locus076	classification	inconclusive	lead_missing
Cholesterol_in_very_large_HDL__locus076	Cholesterol_in_very_large_HDL	locus076	main	success	none
Cholesterol_in_very_large_HDL__locus076	Cholesterol_in_very_large_HDL	locus076	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus077	Cholesterol_in_very_large_HDL	locus077	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus077	Cholesterol_in_very_large_HDL	locus077	main	success	none
Cholesterol_in_very_large_HDL__locus077	Cholesterol_in_very_large_HDL	locus077	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus078	Cholesterol_in_very_large_HDL	locus078	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus078	Cholesterol_in_very_large_HDL	locus078	main	success	none
Cholesterol_in_very_large_HDL__locus078	Cholesterol_in_very_large_HDL	locus078	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus079	Cholesterol_in_very_large_HDL	locus079	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus079	Cholesterol_in_very_large_HDL	locus079	main	success	none
Cholesterol_in_very_large_HDL__locus079	Cholesterol_in_very_large_HDL	locus079	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus080	Cholesterol_in_very_large_HDL	locus080	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus080	Cholesterol_in_very_large_HDL	locus080	main	success	none
Cholesterol_in_very_large_HDL__locus080	Cholesterol_in_very_large_HDL	locus080	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus081	Cholesterol_in_very_large_HDL	locus081	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus081	Cholesterol_in_very_large_HDL	locus081	main	success	none
Cholesterol_in_very_large_HDL__locus081	Cholesterol_in_very_large_HDL	locus081	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus082	Cholesterol_in_very_large_HDL	locus082	classification	distinct_signal	none
Cholesterol_in_very_large_HDL__locus082	Cholesterol_in_very_large_HDL	locus082	main	success	none
Cholesterol_in_very_large_HDL__locus082	Cholesterol_in_very_large_HDL	locus082	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus083	Cholesterol_in_very_large_HDL	locus083	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus083	Cholesterol_in_very_large_HDL	locus083	main	success	none
Cholesterol_in_very_large_HDL__locus083	Cholesterol_in_very_large_HDL	locus083	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus084	Cholesterol_in_very_large_HDL	locus084	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus084	Cholesterol_in_very_large_HDL	locus084	main	success	none
Cholesterol_in_very_large_HDL__locus084	Cholesterol_in_very_large_HDL	locus084	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus085	Cholesterol_in_very_large_HDL	locus085	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus085	Cholesterol_in_very_large_HDL	locus085	main	success	none
Cholesterol_in_very_large_HDL__locus085	Cholesterol_in_very_large_HDL	locus085	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus086	Cholesterol_in_very_large_HDL	locus086	classification	trait_specific_or_low_power	none
Cholesterol_in_very_large_HDL__locus086	Cholesterol_in_very_large_HDL	locus086	main	success	none
Cholesterol_in_very_large_HDL__locus086	Cholesterol_in_very_large_HDL	locus086	noUKBB	success	none
Cholesterol_in_very_large_HDL__locus087	Cholesterol_in_very_large_HDL	locus087	classification	inconclusive	posterior_indeterminate
Cholesterol_in_very_large_HDL__locus087	Cholesterol_in_very_large_HDL	locus087	main	success	none
Cholesterol_in_very_large_HDL__locus087	Cholesterol_in_very_large_HDL	locus087	noUKBB	success	none
