trait	n_iv	ivw_b	ivw_se	ivw_p	p_fdr_bh	p_bonf	screen_level
Concentration_of_IDL_particles	147	-0.0189854721954677	0.0184766853161766	0.304167814969299	0.36588302380365	1	null
Concentration_of_large_HDL_particles	147	-0.0915070256814992	0.0269586650728661	0.000687928233529	0.00163137266808306	0.171294130148721	fdr_only
Concentration_of_large_LDL_particles	147	0.0006191334047592	0.0156351663668682	0.968413005627469	0.968413005627469	1	null
Concentration_of_large_VLDL_particles	147	0.0939479692082261	0.0197653517150185	2.0025722746786e-06	2.05674438087919e-05	0.000498640496394971	bonferroni_hit
Concentration_of_LDL_particles	147	0.0062965553937737	0.0152017757079279	0.678728610281168	0.722236854529961	1	null
Concentration_of_medium_HDL_particles	147	-0.0410054538390915	0.0181811342666256	0.0241091860992701	0.0392365185537141	1	fdr_only
Concentration_of_medium_LDL_particles	147	0.012576385867588	0.0145702343376305	0.388051676222306	0.445275886540803	1	null
Concentration_of_medium_VLDL_particles	147	0.0427628493298725	0.0123175544659812	0.0005171746383907	0.00128776484959284	0.128776484959284	fdr_only
Concentration_of_small_HDL_particles	147	0.0305915944754302	0.0154240574194684	0.0473262479341247	0.0722132813099677	1	nominal
Concentration_of_small_LDL_particles	147	0.0174939352157687	0.0135469928374652	0.196581674484978	0.251019676650049	1	null
Concentration_of_small_VLDL_particles	147	0.0733897479059861	0.0146003168171663	4.99288664817605e-07	8.88020553854169e-06	0.000124322877539584	bonferroni_hit
Concentration_of_very_large_HDL_particles	147	-0.0887428987436045	0.0289081799329925	0.0021418806853002	0.00423276421142659	0.53332829063975	fdr_only
Concentration_of_very_large_VLDL_particles	147	0.102216927279857	0.0218081102763734	2.77095295327451e-06	2.24585831475755e-05	0.000689967285365353	bonferroni_hit
Concentration_of_very_small_VLDL_particles	147	0.0185009059856553	0.0173045709328039	0.285009271101058	0.346181992703236	1	null
Concentration_of_VLDL_particles	147	0.0597444356407293	0.0131070774079875	5.15984783137389e-06	3.13366368295634e-05	0.0012848021100121	bonferroni_hit
Creatinine	147	0.0015679261285405	0.0123507114417971	0.898979760288337	0.915095957981704	1	null
Degree_of_unsaturation	147	-0.167700156657838	0.0975458752655748	0.0855792896386368	0.122466914482877	1	null
DHA	147	-0.0968173990469087	0.0824252313087402	0.240151275536973	0.300490792003549	1	null
DHA_pct	147	-0.135747656684955	0.0793177971304411	0.0869999045434888	0.123788435607593	1	null
