trait	n_iv	ivw_b	ivw_se	ivw_p	p_fdr_bh	p_bonf	screen_level
Phospholipids_in_LDL	198	0.0031889371188368	0.0155597703340065	0.837613088529812	0.851288404260911	1	null
Phospholipids_in_medium_HDL	198	-0.0126397700994851	0.0154882742301166	0.414450716548554	0.464856884777432	1	null
Phospholipids_in_medium_LDL	198	0.0279280710079189	0.0123484014231838	0.0237174893319111	0.035820995483128	1	fdr_only
Phospholipids_in_medium_VLDL	198	0.0509145941340137	0.011268541414725	6.23395948381641e-06	1.72472879052254e-05	0.00155225591147029	bonferroni_hit
Phospholipids_in_small_HDL	198	0.0588537797392864	0.0155778606759122	0.0001580675359599	0.000333549291983179	0.0393588164540151	bonferroni_hit
Phospholipids_in_small_LDL	198	0.0097119365100682	0.0156032177089946	0.533658075769537	0.580265767976484	1	null
Phospholipids_in_small_VLDL	198	0.0567451486731832	0.0116276545398196	1.05984366305011e-06	3.25803792715404e-06	0.000263901072099477	bonferroni_hit
Phospholipids_in_very_large_HDL	198	-0.0921463123702474	0.0244797474725552	0.0001670927642014	0.000349631078034862	0.0416060982861486	bonferroni_hit
Phospholipids_in_very_large_VLDL	198	0.106242978663188	0.0177389695700659	2.10821487492405e-09	1.88053641856138e-08	5.24945503856089e-07	bonferroni_hit
Phospholipids_in_very_small_VLDL	198	0.0433388574660306	0.0138673856286944	0.0017766225828143	0.00313743988028908	0.442379023120761	fdr_only
Phospholipids_in_VLDL	198	0.0865417414333864	0.0133082017651836	7.87926228553561e-11	1.77322867095641e-09	1.96193630909837e-08	bonferroni_hit
Phospholipids_to_total_lipids_ratio_in_chylomicrons_and_extremely_large_VLDL	198	0.0570283347358104	0.0145463930757439	8.83855885246617e-05	0.000201908362776521	0.0220080115426408	bonferroni_hit
Phospholipids_to_total_lipids_ratio_in_IDL	198	0.020862708918328	0.009075685587004	0.0215192855394286	0.0331175712184884	1	fdr_only
Phospholipids_to_total_lipids_ratio_in_large_HDL	198	0.0998894990680073	0.0171260063782697	5.45635122481545e-09	3.77397626383069e-08	1.35863145497905e-06	bonferroni_hit
Phospholipids_to_total_lipids_ratio_in_large_LDL	198	-0.0309974570041807	0.0099026734493292	0.0017468080557164	0.00312917414297398	0.434955205873384	fdr_only
Phospholipids_to_total_lipids_ratio_in_large_VLDL	198	0.122396109101817	0.0231000267436508	1.16740790702861e-07	4.92685709915464e-07	2.90684568850124e-05	bonferroni_hit
Phospholipids_to_total_lipids_ratio_in_medium_HDL	198	0.110219464409184	0.0201136508940842	4.25725503224588e-08	2.16338061842699e-07	1.06005650302922e-05	bonferroni_hit
Phospholipids_to_total_lipids_ratio_in_medium_LDL	198	-0.0347670451273135	0.0094908735315798	0.0002490759892754	0.000496159370636597	0.0620199213295746	fdr_only
Phospholipids_to_total_lipids_ratio_in_medium_VLDL	198	-0.0712867138502614	0.02061168236149	0.0005430738688134	0.00100166958025583	0.135225393334537	fdr_only
Phospholipids_to_total_lipids_ratio_in_small_HDL	198	0.0066637987566945	0.0126993107704795	0.599766003835276	0.640951652167312	1	null
Phospholipids_to_total_lipids_ratio_in_small_LDL	198	-0.0764188034286077	0.0215041298511292	0.0003798806477655	0.000711205122508342	0.0945902812936095	fdr_only
Phospholipids_to_total_lipids_ratio_in_small_VLDL	198	-0.108234295298876	0.0234579158099812	3.95035244578546e-06	1.13061811379377e-05	0.000983637759000579	bonferroni_hit
Phospholipids_to_total_lipids_ratio_in_very_large_HDL	198	-0.0779046238413373	0.0199968235761851	9.78549651842204e-05	0.000217552556525633	0.0243658863308709	bonferroni_hit
Phospholipids_to_total_lipids_ratio_in_very_large_VLDL	198	0.026850037377631	0.0103973976011047	0.0098121321366274	0.0157627154969047	1	fdr_only
Phospholipids_to_total_lipids_ratio_in_very_small_VLDL	198	0.0908253523156258	0.0179342492214418	4.09791684292222e-07	1.4171962415106e-06	0.000102038129388763	bonferroni_hit
Polyunsaturated_fatty_acids	198	0.0046227237990948	0.0254773130020118	0.856018523732853	0.866457774022278	1	null
Pyruvate	198	-0.0043422200858371	0.0098837261518842	0.660422243443818	0.693861344377682	1	null
Ratio_of_linoleic_acid_to_total_fatty_acids	198	-0.0564682451969761	0.0474348282967125	0.233874093902548	0.277307854198736	1	null
Ratio_of_monounsaturated_fatty_acids_to_total_fatty_acids	198	0.175182299561598	0.0486263322224923	0.0003150233344522	0.000612818830301545	0.0784408102785978	fdr_only
Ratio_of_omega3_fatty_acids_to_total_fatty_acids	198	-0.126262082044011	0.0942378916901029	0.180302940114819	0.22225461429995	1	null
Ratio_of_omega6_fatty_acids_to_omega3_fatty_acids	198	0.0847352954628819	0.0875567195193231	0.333156231455123	0.38649106178853	1	null
Ratio_of_omega6_fatty_acids_to_total_fatty_acids	198	-0.105888566364669	0.0142567334078761	1.10864386156156e-13	5.36859641193122e-12	2.76052321528828e-11	bonferroni_hit
Ratio_of_polyunsaturated_fatty_acids_to_monounsaturated_fatty_acids	198	-0.170541031837463	0.0431699979485378	7.80035364613938e-05	0.000181522248400814	0.0194228805788871	bonferroni_hit
Ratio_of_polyunsaturated_fatty_acids_to_total_fatty_acids	198	-0.152635424553576	0.0330245613869278	3.80285485627916e-06	1.10105913862036e-05	0.000946910859213511	bonferroni_hit
