trait_id	trait_display	screen_level	n_iv	min_f	median_f	cumulative_r2_approx	maf_min	maf_q25	maf_median	maf_q75	maf_max	i2gx	nome_i2gx_ge_0_90	ld_panel_missing_n	ld_panel_eligible_n	ld_panel_missing_fraction	ld_panel_missingness_note
Leucine	Leucine	null	135	29.8636434833068	45.1873053124445	0.0175854759267165	0.00942143	0.1370685	0.275931	0.3958455	0.492139	0.988581845337961	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Linoleic_acid	Linoleic acid	nominal	265	29.8132877589134	59.6554486188629	0.0717013400155044	0.00547602	0.098127	0.225012	0.388154	0.497031	0.994620274603827	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Monounsaturated_fatty_acids	Monounsaturated fatty acids	bonferroni_hit	336	29.7869083049376	54.5676077615424	0.076202430628779	0.00547602	0.10099675	0.256036	0.38860525	0.499321	0.993653771024323	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Omega3_fatty_acids	Omega-3 fatty acids	null	284	29.7858386167455	54.2221484549736	0.0626938038939294	0.00394911	0.1045145	0.2436665	0.380736	0.499459	0.993968431688688	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Omega6_fatty_acids	Omega-6 fatty acids	null	288	29.7556028192936	61.8929024092812	0.0729500216621599	0.00666668	0.0940379	0.216678	0.36861825	0.492749	0.994409492914491	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phenylalanine	Phenylalanine	null	53	30.0054708413333	60.0696555270157	0.0109376908099304	0.0107918	0.111423	0.223113	0.318213	0.494534	0.992094835795945	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phosphatidylcholines	Phosphatidylcholines	null	287	29.7438605081458	58.0724296326664	0.0661149123224239	0.00904465	0.1102005	0.244917	0.389253	0.494971	0.994281676131002	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phosphoglycerides	Phosphoglycerides	null	286	29.733034860493	58.1032455650517	0.0677071090056259	0.00927327	0.097358925	0.224015	0.37301975	0.497362	0.994333106056725	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_IDL	Phospholipids in intermediate-density lipoprotein	null	296	29.7187365017121	56.5326889338688	0.0744516598278258	0.00394911	0.0928066	0.2200505	0.362039	0.494279	0.994675996052631	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_LDL	Phospholipids in low-density lipoprotein	null	267	29.818383510001	56.3091154787122	0.0706185494659027	0.00197497	0.08211275	0.225162	0.356485	0.498534	0.99461134652755	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_VLDL	Phospholipids in very-low-density lipoprotein	null	354	29.8179898234423	60.6864700256268	0.0792422950440949	0.00547602	0.112169	0.257278	0.38964175	0.499321	0.993742651429773	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_chylomicrons_and_extremely_large_VLDL	Phospholipids in chylomicrons and extremely large very-low-density lipoprotein	fdr_only	342	29.8161312780306	54.1374162282407	0.076130529679503	0.00547602	0.1111615	0.264191	0.385868	0.499321	0.993750814478708	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_large_HDL	Phospholipids in large high-density lipoprotein	nominal	452	29.7650021043572	55.5832060998609	0.077964908051894	0.00789572	0.134871	0.2724645	0.38745925	0.499035	0.993682091092493	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_large_LDL	Phospholipids in large low-density lipoprotein	null	252	29.7304509810449	60.3715831079497	0.0686293839972248	0.00870423	0.082280875	0.207912	0.3540505	0.495947	0.994751446440902	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_large_VLDL	Phospholipids in large very-low-density lipoprotein	nominal	394	29.7497171045658	54.1269720555294	0.0830426837797859	0.00547602	0.1330545	0.271003	0.398974	0.499321	0.99357926274844	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_medium_HDL	Phospholipids in medium high-density lipoprotein	null	315	29.7650995244362	57.2631125967914	0.0680721953181253	0.00394911	0.1239035	0.261389	0.3894655	0.497892	0.993899697281121	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_medium_LDL	Phospholipids in medium low-density lipoprotein	null	298	29.7283077924975	53.3101835104662	0.0745133970491357	0.00197497	0.10976675	0.234832	0.38656125	0.49897	0.994295481813859	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_medium_VLDL	Phospholipids in medium very-low-density lipoprotein	null	320	29.9363169883491	59.1701112757992	0.0766008368085211	0.00272925	0.08729055	0.2178205	0.3798715	0.498506	0.99401889100886	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_small_HDL	Phospholipids in small high-density lipoprotein	nominal	271	29.8343752364894	53.6078777289259	0.0616289959425721	0.0122161	0.12595	0.246977	0.3930445	0.497179	0.993312796872473	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_small_LDL	Phospholipids in small low-density lipoprotein	null	286	29.7525007379524	55.6182119108226	0.0722819878954539	0.00796414	0.11648875	0.238955	0.37839775	0.498506	0.994418401839298	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_small_VLDL	Phospholipids in small very-low-density lipoprotein	null	340	29.8412304258901	58.1317765985083	0.0816715302590736	0.00547602	0.1051165	0.2382715	0.380746	0.499463	0.994135443854748	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_very_large_HDL	Phospholipids in very large high-density lipoprotein	fdr_only	414	29.7299766107763	54.2875799170032	0.0741111425068531	0.00789572	0.12442575	0.271856	0.3928255	0.499831	0.993533979572667	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_very_large_VLDL	Phospholipids in very large very-low-density lipoprotein	null	379	30.0976379843188	52.6550257792212	0.0795353526715631	0.00547602	0.125196	0.270701	0.3915895	0.499321	0.993517923190822	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
Phospholipids_in_very_small_VLDL	Phospholipids in very small very-low-density lipoprotein	null	304	29.739721728234	63.6823895132209	0.0820335178977296	0.00464248	0.1151735	0.2442235	0.384557	0.497421	0.994927883544799	TRUE	NA	NA	NA	Selection-stage LD-panel denominator was not supplied; final-IV files alone cannot reconstruct missingness
