locus_key	trait	locus	outcome	p12	nsnp	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	noUKBB	1e-06	3219	8.15925801715255e-98	0.843425984291745	1.50848124414413e-98	0.155925868683808	0.000648147024454567
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	noUKBB	5e-06	3219	8.13815912267291e-98	0.841244982562599	1.50458048668214e-98	0.15552266248012	0.00323235495728261
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	noUKBB	1e-05	3219	8.1119384581845e-98	0.838534541281243	1.4997328178737e-98	0.155021577714909	0.00644388100385832
Cholesterol_in_very_large_HDL__locus012	Cholesterol_in_very_large_HDL	locus012	noUKBB	1e-04	3219	7.66727536736431e-98	0.792569527763494	1.41752363524272e-98	0.146523932639584	0.0609065395969094
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	main	1e-06	2398	4.05424860844689e-35	0.98201178131011	7.05755162067851e-37	0.017085630883415	0.000902587806481688
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	main	5e-06	2398	4.03966400256286e-35	0.978479127990814	7.03216304221804e-37	0.0170241676588373	0.00449670435034451
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	main	1e-05	2398	4.02158014562677e-35	0.974098893259829	7.0006830403352e-37	0.0169479577037017	0.00895314903646748
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	main	1e-04	2398	3.72169234919477e-35	0.901460686378833	6.47864460408322e-37	0.0156841545453056	0.0828551590758565
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	noUKBB	1e-06	2329	4.13454016821951e-35	0.982713960732451	7.14432884758563e-37	0.0169778431549297	0.000308196112624572
Cholesterol_in_very_large_HDL__locus013	Cholesterol_in_very_large_HDL	locus013	noUKBB	5e-06	2329	4.12944944715191e-35	0.981503977890397	7.13553227435171e-37	0.0169569389043203	0.00153908320527936
